Clt,Dor.,Cognoms i nom,sexo,Inter 1,Temps,Écart
1,1053,PUJOL GARCIA Albert,M,02:25:45,03:30:41,
2,444,BAULENAS Naim,M,,03:46:18,+15:36.472
4,226,VERDÚ Jordi,M,,04:20:44,+50:03.144
5,15,FONT Aniol,M,,04:23:39,+52:57.333
6,117,COSTA Sergi,M,,04:24:18,+53:37.164
7,868,ARRANZ Jordi,M,,04:27:17,+56:36.215
8,243,BOIXEDA Jordi,M,,04:30:31,+59:49.253
9,558,COLOM Cesc,M,,04:31:28,+1:00:46.760
10,234,JORDÀ Marc,M,03:14:37,04:39:55,+1:09:13.700
11,239,MATAS Kiko,M,03:05:54,04:41:06,+1:10:24.462
12,430,COMES Aleix,M,03:22:12,04:56:54,+1:26:12.745
13,993,COLOMER Eva,,03:30:25,05:01:57,+1:31:16.069
14,854,AUTONELL Bernat,M,03:27:48,05:04:49,+1:34:07.876
15,782,CAÑIGUERAL Estel,F,03:31:08,05:05:12,+1:34:30.385
16,12,VILAMALA Marti,M,,05:06:33,+1:35:51.642
17,366,ROMEU Albert,M,,05:11:26,+1:40:45.244
18,711,LAGUNAS Galdric,M,03:26:27,05:14:41,+1:43:59.493
19,394,CODINACHS Enric,M,,05:14:53,+1:44:11.261
20,197,ERRA Jordi,M,03:49:04,05:20:47,+1:50:05.821
21,946,DICHA Albert,M,03:49:24,05:30:12,+1:59:30.427
22,434,VILADELBOSCH Jordi,M,03:48:08,05:32:09,+2:01:27.338
23,455,VERDÉS Ona,F,03:53:04,05:32:52,+2:02:11.000
24,650,PORTET Marc,M,04:11:37,05:36:54,+2:06:12.505
25,403,CUNILL Pere,M,03:56:01,05:38:01,+2:07:20.153
26,750,FERRER Xevi,M,04:01:52,05:42:32,+2:11:50.611
27,749,FERRER Elia,F,04:01:56,05:42:49,+2:12:08.232
28,514,CASADEVALL Joan,M,03:43:22,05:44:28,+2:13:46.713
29,646,CASASSAS Toni,M,04:48:21,05:46:26,+2:15:44.507
30,950,VERDAGUERR Marc,M,03:53:30,05:47:42,+2:17:01.219
31,100,VILARRASA Sergi,M,03:58:32,05:47:54,+2:17:12.376
32,102,TAÑÀ Marc,M,03:58:43,05:48:00,+2:17:18.907
33,540,MARQUEZ Sebastià,M,04:13:43,05:50:11,+2:19:29.745
33,113,IBAÑEZ Enric,M,04:13:38,05:50:11,+2:19:29.745
35,29,BRUGUERA Jaume,M,04:01:29,05:50:52,+2:20:10.295
36,336,CATALINA Dani,M,03:43:53,05:51:03,+2:20:21.991
37,735,COSTA Xevi,M,03:43:45,05:51:09,+2:20:27.964
38,383,CASTRILLO Raül,M,03:56:47,05:51:44,+2:21:02.531
39,378,CASTRILLO Carlos,M,03:56:45,05:51:44,+2:21:02.855
40,139,SOLER Genís,M,04:07:12,05:53:01,+2:22:19.683
41,995,SERRA Arantxa,F,04:10:41,05:53:58,+2:23:16.505
42,258,VILLEGAS Joaquim,,04:28:53,05:54:00,+2:23:18.981
43,910,HERREROS Marc,,04:10:53,05:54:06,+2:23:24.457
44,617,DE LA ROSA Isaac,,04:08:30,05:56:22,+2:25:40.639
